TXNID,UserID,FSA,Order Time,Market,Type,Side,Size,Price,Subtotal,Fees,Status
1,245,v3b,2021-02-24 04:02:21.760559Z,BTC-CAD,limit,sell,0.20000000 / 0.20000000,64400,12879.99982,0,filled
2,156,L1T,2021-02-24 02:16:51.660691Z,ADA-CAD,limit,buy,9100.00000000 / 9100.00000000,1.24,11418.26974,16.92595312,filled
3,156,L1T,2021-02-24 02:14:16.538557Z,LINK-CAD,limit,sell,40.00000000 / 40.00000000,34.2,1351.718162,2.05199999,filled
4,156,L1T,2021-02-24 02:12:45.572219Z,ETH-CAD,limit,sell,0.68000000 / 0.68000000,2030,1363.970067,2.07059922,filled
5,156,L1T,2021-02-24 02:11:13.454674Z,BTC-CAD,limit,sell,0.13870000 / 0.13870000,63430,8693.030802,13.19661131,filled
6,102,k0a,2021-02-24 01:56:20.665918Z,HBAR-CAD,limit,buy,135.60000000 / 135.60000000,0.14869227,20.40264349,0.030244,filled
7,188,N4K,2021-02-24 01:55:34.165164Z,LINK-CAD,market,buy,15.00000000 / 15.00000000,33.68442701,511.2800497,0.7578996,filled
8,102,k0a,2021-02-24 01:52:28.275584Z,ETH-CAD,limit,sell,0.01026639 / 0.01026639,2005.066,20.33978538,0.03087717,filled
9,102,k0a,2021-02-24 01:51:13.907558Z,XLM-ETH,limit,sell,40.78306040 / 40.78306040,0.00025199,0.01028181,0.00001542,filled
10,21,M8W,2021-02-24 01:23:14.362859Z,HBAR-CAD,market,buy,200.00000000 / 200.00000000,0.14767044,29.8856021,0.04430113,filled
11,192,V0A,2021-02-24 00:17:47.447504Z,HBAR-CAD,limit,buy,3650.00000000 / 3650.00000000,0.14,517.0818742,0.76649998,filled
12,192,V0A,2021-02-24 00:12:25.163133Z,VET-USDT,limit,buy,9100.00000000 / 9100.00000000,0.041,373.1,0.55964998,filled
13,54,V7a,2021-02-24 00:06:06.982568Z,LTC-CAD,market,buy,4.05000000 / 4.05000000,219.88,900.9416687,1.33551727,filled
